DATE,PCE,POP,PSAVERT,UEMPMED,UNEMPLOY
8/1/1973,853.3,196762,13.9,7.5,4013
9/1/1973,869.2,196984,13.1,7.7,3961
10/1/1973,868.2,197207,14.4,8.1,3803
11/1/1973,876.9,197398,14.4,8.5,4024
12/1/1973,876.6,197572,14.8,9.5,3907
1/1/1974,884.5,197736,14.3,8.5,4074
2/1/1974,889.7,197892,14.2,8.7,4238
3/1/1974,901.4,198037,13.4,9.5,4072
4/1/1974,910.8,198206,13.1,9.7,4055
5/1/1974,922.4,198363,12.8,10,4217
6/1/1974,928,198537,12.8,10.2,3977
7/1/1974,937.9,198712,12.8,11.1,4051
8/1/1974,954.8,198911,12.1,9.8,3878
9/1/1974,955.1,199113,12.9,10.4,3957
10/1/1974,959.2,199311,13.4,10.9,3987
11/1/1974,956.2,199498,13.8,12.3,4151
12/1/1974,961.8,199657,14,11.3,3975
1/1/1975,975.6,199808,13.2,10.1,4029
2/1/1975,989.4,199920,12.5,9.3,3932
3/1/1975,990.6,200056,12.7,9.3,3950
4/1/1975,995,200208,14.2,9.4,3918
5/1/1975,1018.9,200361,17.3,9.3,3764
6/1/1975,1026.8,200536,14.3,8.7,3814
7/1/1975,1039.8,200706,12.6,9.1,3608
8/1/1975,1047,200898,13,8.3,3655
9/1/1975,1054.8,201095,13,8.3,3712
10/1/1975,1060.9,201290,13.4,8.2,3726
11/1/1975,1075.8,201466,12.7,9.1,3551
12/1/1975,1092.1,201621,12,7.5,3651
1/1/1976,1107.1,201760,11.7,7.5,3572
2/1/1976,1107.7,201881,12.3,7.3,3730
3/1/1976,1114.9,202023,12.2,7.6,3510
4/1/1976,1125.4,202161,11.7,7.2,3595
5/1/1976,1122.7,202331,12.3,7.2,3432
6/1/1976,1140.5,202507,11.4,7.3,3387
7/1/1976,1149.6,202677,11.7,6.8,3301
8/1/1976,1158,202877,11.7,7.1,3254
9/1/1976,1168.8,203090,11.4,7.1,3216
10/1/1976,1176.8,203302,11.1,6.9,3143
11/1/1976,1189,203500,11.4,6.9,3073
12/1/1976,1211.5,203675,10.6,6.6,3031
1/1/1977,1215,203849,10.6,6.9,2988
2/1/1977,1231.3,204008,9.3,7.1,2820
3/1/1977,1238.3,204156,10.5,6.9,2887
4/1/1977,1247.3,204401,10.5,7.1,2828
5/1/1977,1257.1,204607,10.3,7,2950
6/1/1977,1263.6,204830,10.6,6.8,2872
7/1/1977,1280.5,205052,10.5,6.7,2876
8/1/1977,1285.7,205295,10.9,6.9,2900
9/1/1977,1294.5,205540,11.1,6.8,2798
10/1/1977,1311.4,205788,11,6.7,2798
11/1/1977,1327,206024,11.2,6.8,2770
12/1/1977,1336,206238,11.4,7,2912
1/1/1978,1329.5,206466,11.9,6.9,2968
2/1/1978,1355.1,206668,11.1,7.1,2915
3/1/1978,1377.5,206855,11,7.4,2889
4/1/1978,1396.4,207065,10.8,7,2895
5/1/1978,1412,207260,10.3,7.1,2929
6/1/1978,1425.8,207462,10,7.1,2992
7/1/1978,1426.8,207661,10.9,6.9,2944
8/1/1978,1447,207881,10.5,6.6,2945
9/1/1978,1452.9,208114,10.6,6.6,2958
10/1/1978,1466.9,208345,10.7,7.1,3143
11/1/1978,1480.6,208555,10.5,6.6,3066
12/1/1978,1496.5,208740,10.4,6.5,3018
1/1/1979,1502.4,208917,11.1,6.5,2878
2/1/1979,1517.8,209061,11.1,6.4,3001
3/1/1979,1531.2,209212,11.2,6,2877
4/1/1979,1538.4,209386,11,6.3,2709
5/1/1979,1558.8,209545,10.3,6.2,2740
6/1/1979,1575.7,209725,9.9,6,2938
7/1/1979,1586.1,209896,10.6,6.2,2883
8/1/1979,1615.6,210075,9.7,6.3,2768
9/1/1979,1633.9,210278,9.4,6.4,2686
10/1/1979,1641.6,210479,9.7,5.9,2689
11/1/1979,1657.3,210656,9.7,5.9,2715
12/1/1979,1666.3,210821,10.1,5.8,2685
1/1/1980,1697.3,210985,9.9,6.1,2718
2/1/1980,1701.4,211120,10.1,5.9,2692
3/1/1980,1708.2,211254,10.2,5.7,2712
4/1/1980,1695.2,211420,11.3,5.6,2758
5/1/1980,1700.1,211577,11.4,5.7,2713
6/1/1980,1718.8,211746,11.2,5.9,2816
7/1/1980,1747.1,211909,11.3,5.6,2868
8/1/1980,1763.8,212092,11.3,5.4,2856
9/1/1980,1780.5,212289,11.7,5.4,3040
10/1/1980,1817.1,212475,11.3,5.4,3049
11/1/1980,1826.8,212634,11.6,5.3,2856
12/1/1980,1851.7,212785,11.4,5.4,2884
1/1/1981,1870,212932,10.9,5.6,3201
2/1/1981,1884.2,213074,10.8,5,3453
3/1/1981,1902.9,213211,10.8,4.9,3635
4/1/1981,1904.4,213361,10.9,4.9,3797
5/1/1981,1913.8,213513,11,4.8,3919
6/1/1981,1934.5,213686,10.8,4.9,4071
7/1/1981,1942.1,213854,12.3,5.1,4175
8/1/1981,1966.6,214042,12,5.3,4256
9/1/1981,1965.5,214246,12.4,5.1,4456
10/1/1981,1963.9,214451,13,4.8,4591
11/1/1981,1970.6,214625,13.2,5.2,4898
12/1/1981,1988.8,214782,12.5,5.2,5076
1/1/1982,1997.1,214931,12.7,5.4,4986
2/1/1982,2021.2,215065,12.1,5.4,4903
3/1/1982,2024.1,215198,12.2,5.6,4987
4/1/1982,2026.3,215353,12.9,5.8,4959
5/1/1982,2044.5,215523,12.3,5.7,4996
6/1/1982,2048.1,215768,12.3,5.9,4949
7/1/1982,2072.2,215973,12.5,6,5035
8/1/1982,2080.1,216195,12.6,6.2,5134
9/1/1982,2104.6,216393,11.8,6.7,5042
10/1/1982,2125.8,216587,11.3,6.6,4954
11/1/1982,2149.3,216771,10.9,6.4,5161
12/1/1982,2161.6,216931,10.9,6.9,5154
1/1/1983,2174,217095,11.1,7,5019
2/1/1983,2177,217249,11.1,7.3,4928
3/1/1983,2202.8,217381,10.6,6.8,5038
4/1/1983,2226.4,217528,10.3,7.2,4959
5/1/1983,2245.9,217685,9.9,7.5,4922
6/1/1983,2276,217861,9.1,7.8,4923
7/1/1983,2304.4,218035,9.6,8.1,4913
8/1/1983,2320.4,218233,9.2,8.2,4939
9/1/1983,2334.9,218440,9.6,8.3,4849
10/1/1983,2357.6,218644,9.7,8.5,4875
11/1/1983,2366.3,218834,10.3,8.8,4602
12/1/1983,2393.6,219006,10.1,8.7,4543
1/1/1984,2419.4,219179,10,8.6,4326
2/1/1984,2403.5,219344,11.7,8.8,4452
3/1/1984,2431.6,219504,11.5,8.6,4394
4/1/1984,2457.5,219684,11.5,9,4459
5/1/1984,2474.5,219859,11.1,9,4329
6/1/1984,2495.6,220046,11.1,9.3,4363
7/1/1984,2494.6,220239,11.6,8.6,4305
8/1/1984,2512.2,220458,11.8,8.5,4305
9/1/1984,2533.8,220688,11.8,8.5,4350
10/1/1984,2531.3,220904,11.7,8.4,4144
11/1/1984,2571.4,221109,10.9,8.1,4396
12/1/1984,2582.6,221303,11.2,8.3,4489
1/1/1985,2618.8,221477,10.3,8.2,4644
2/1/1985,2640.8,221629,9.1,8.2,4731
3/1/1985,2648.5,221792,8.7,8.3,4634
4/1/1985,2659.5,221991,9.9,8,4618
5/1/1985,2696.4,222176,11.1,8.3,4705
6/1/1985,2689.4,222379,9.6,8.3,4927
7/1/1985,2715.7,222585,9.1,8.6,5063
8/1/1985,2752.1,222805,8.2,9.2,5022
9/1/1985,2794.7,223053,7.3,9.3,5437
10/1/1985,2755.8,223271,9.1,9.1,5523
11/1/1985,2771.1,223477,9,9.2,6140
12/1/1985,2811.3,223670,8.6,9.3,6636
1/1/1986,2827.1,223865,8.6,9,7501
2/1/1986,2820.2,224053,9.3,8.9,7520
3/1/1986,2823.6,224235,9.9,9.2,7978
4/1/1986,2835.2,224438,9.7,10,8210
5/1/1986,2857.5,224632,9.3,9,8433
6/1/1986,2861.7,224843,9.4,8.7,8220
7/1/1986,2881.2,225055,9.3,8,8127
8/1/1986,2898.6,225295,9,8.1,7928
9/1/1986,2971.8,225547,7.2,8.3,7923
10/1/1986,2932.9,225801,8.4,8.3,7897
11/1/1986,2928.4,226027,8.8,9.1,7794
12/1/1986,2997.1,226243,7,7.9,7744
1/1/1987,2935.5,226451,9.7,8.5,7534
2/1/1987,3001.7,226656,8.5,8.3,7326
3/1/1987,3013.3,226849,8.5,7.9,7230
4/1/1987,3038.8,227061,4.5,8.2,7330
5/1/1987,3048.4,227251,8.2,8,7053
6/1/1987,3072.8,227522,7.7,8.3,7322
7/1/1987,3094.7,227726,7.5,8.3,7490
8/1/1987,3130.8,227953,7.2,7.8,7518
9/1/1987,3126.5,228186,7.6,8.3,7380
10/1/1987,3134.5,228417,8.3,8.6,7430
11/1/1987,3144.2,228612,8.5,8.6,7620
12/1/1987,3174.1,228779,8.7,8.3,7545
1/1/1988,3213.7,228937,8.1,8.3,7280
2/1/1988,3221.4,229071,8.6,8.4,7443
3/1/1988,3260.5,229224,8.2,8.5,7307
4/1/1988,3263,229403,8.8,8.3,7059
5/1/1988,3293.6,229575,8.4,7.7,6911
6/1/1988,3318.5,229761,8.4,7.8,7134
7/1/1988,3342.7,229966,8.6,7.8,6829
8/1/1988,3368,230187,8.4,8.1,6925
9/1/1988,3375,230412,8.9,7.9,6751
10/1/1988,3413.7,230641,8.6,8.3,6763
11/1/1988,3430.2,230822,8.4,8,6815
12/1/1988,3459.7,230989,8.3,8,6386
1/1/1989,3483.7,231157,8.5,8.3,6489
2/1/1989,3488,231313,9,7.8,6318
3/1/1989,3498.8,231470,9.5,8.2,6337
4/1/1989,3543,231645,8.4,7.7,6180
5/1/1989,3551.8,231809,8.1,7.6,6127
6/1/1989,3566.6,231992,8.2,7.5,6028
7/1/1989,3585.7,232188,8.2,7.4,6309
8/1/1989,3620.6,232392,7.6,7,6080
9/1/1989,3621.9,232599,8.1,6.8,6125
10/1/1989,3633.6,232816,8.5,6.7,5947
11/1/1989,3643.3,232993,8.6,6,6077
12/1/1989,3684.2,233160,7.8,6.9,6228
1/1/1990,3730.7,233322,8,6.7,6109
2/1/1990,3728.2,233473,8.6,6.8,6173
3/1/1990,3754.9,233613,8.3,6.7,6109
4/1/1990,3770,233781,8.8,5.8,6069
5/1/1990,3775.8,233922,8.7,6.6,5840
6/1/1990,3804.5,234118,8.6,6.8,5959
7/1/1990,3821.7,234307,8.7,6.9,5996
8/1/1990,3848.3,234501,8.1,6.8,6320
9/1/1990,3870.1,234701,8.1,6.8,6190
10/1/1990,3870.6,234907,7.8,6.2,6296
11/1/1990,3871.9,235078,7.9,6.5,6238
12/1/1990,3861.3,235235,8.8,6.3,6325
1/1/1991,3841,235385,9.3,5.8,6683
2/1/1991,3866.7,235527,8.8,6.5,6702
3/1/1991,3913,235675,8,6,6729
4/1/1991,3907.1,235839,8.6,6.1,7358
5/1/1991,3933.2,235993,8.4,6.2,7984
6/1/1991,3940.5,236160,8.9,5.8,8098
7/1/1991,3966,236348,8.2,5.8,8363
8/1/1991,3969.1,236549,8.6,6.1,8281
9/1/1991,3984.7,236760,8.8,6,8021
10/1/1991,3976,236976,9.3,6.1,8088
11/1/1991,4003.6,237159,9,5.8,8023
12/1/1991,4020.5,237316,9.7,5.7,7718
1/1/1992,4084.7,237468,9.4,6,8071
2/1/1992,4099.5,237602,9.8,6.3,8051
3/1/1992,4117,237732,9.7,5.2,7982
4/1/1992,4131.5,237900,9.9,6.1,7869
5/1/1992,4158.4,238074,9.9,6.1,8174
6/1/1992,4177.1,238270,10.1,6,8098
7/1/1992,4204.8,238466,9.6,5.8,7863
8/1/1992,4220.9,238679,9.7,6.1,8036
9/1/1992,4255.3,238898,8.7,6.6,8230
10/1/1992,4284.7,239113,8,5.9,8646
11/1/1992,4300.5,239307,8,6.3,9029
12/1/1992,4336.4,239477,10.6,6,9267
1/1/1993,4340.7,239638,8.6,6.8,9397
2/1/1993,4355.3,239788,8.9,6.9,9705
3/1/1993,4352.5,239928,8.9,7.2,9895
4/1/1993,4393.4,240094,8.7,7.3,10244
5/1/1993,4422.4,240271,8.3,7.7,10335
6/1/1993,4440,240459,7.8,8.2,10538
7/1/1993,4468.9,240651,7.6,8.4,10849
8/1/1993,4481.1,240854,7.7,8.3,10881
9/1/1993,4511.5,241068,6.9,8.4,11217
10/1/1993,4532.8,241274,6.3,8.9,11529
11/1/1993,4554.1,241467,6.3,9.5,11938
12/1/1993,4571.1,241620,9.1,11,12051
1/1/1994,4585.1,241784,7.1,8.9,11534
2/1/1994,4632.6,241930,6.5,9,11545
3/1/1994,4646,242079,6.8,9.5,11408
4/1/1994,4671.1,242252,6.4,9.6,11268
5/1/1994,4669.5,242423,7.6,9.3,11154
6/1/1994,4708.9,242608,6.9,9.6,11246
7/1/1994,4720.6,242804,7,9.6,10548
8/1/1994,4762.6,243012,6.5,9.5,10623
9/1/1994,4775,243223,6.8,9.7,10282
10/1/1994,4812.9,243446,7.1,10.2,9887
11/1/1994,4825.6,243639,7,9.9,9499
12/1/1994,4841.6,243809,7.2,11.5,9331
1/1/1995,4851.2,243981,7.5,10.3,9008
2/1/1995,4850.8,244131,7.8,10.1,8791
3/1/1995,4885.4,244279,7.5,10.2,8746
4/1/1995,4890.2,244445,6.9,10.4,8762
5/1/1995,4933.1,244610,7.1,10.3,8456
6/1/1995,4977.5,244806,6.7,10.4,8226
7/1/1995,4970.2,245021,7.1,10.6,8537
8/1/1995,5005.3,245240,6.7,10.2,8519
9/1/1995,5020.5,245464,6.8,10.2,8367
10/1/1995,5013.9,245693,7.1,9.5,8381
11/1/1995,5055.6,245884,6.6,9.9,8198
12/1/1995,5097.5,246056,6.1,11,8358
1/1/1996,5085.7,246224,6.7,8.9,8423
2/1/1996,5132.8,246378,6.7,9.2,8321
3/1/1996,5173.3,246530,6.6,9.6,8339
4/1/1996,5208,246721,5.7,9.5,8395
5/1/1996,5223.8,246906,6.7,9.7,8302
6/1/1996,5229.8,247114,7.1,9.5,8460
7/1/1996,5251.9,247342,6.7,9.4,8513
8/1/1996,5275,247573,6.6,9.2,8196
9/1/1996,5296.6,247816,6.7,9.3,8248
10/1/1996,5328.5,248067,6.4,9,8298
11/1/1996,5351.2,248281,6.4,9.1,8128
12/1/1996,5378.6,248479,6.4,9,8138
1/1/1997,5411.1,248659,6.2,8.8,7795
2/1/1997,5434,248827,6.2,9.2,8402
3/1/1997,5454.2,249012,6.4,8.4,8383
4/1/1997,5459.3,249306,6.5,8.6,8364
5/1/1997,5460.2,249565,6.8,8.5,8439
6/1/1997,5494.2,249849,6.6,8.7,8508
7/1/1997,5548.8,250132,6.1,8.6,8319
8/1/1997,5587,250439,6,9.1,8135
9/1/1997,5601.7,250751,6.2,8.7,8310
10/1/1997,5637.7,251057,6.2,8.4,8243
11/1/1997,5661.1,251346,6.4,8.5,8159
12/1/1997,5692.1,251626,6.4,7.3,7883
1/1/1998,5689.9,251889,7.4,8,7892
2/1/1998,5723.8,252135,7.4,8.4,7865
3/1/1998,5750.3,252372,7.5,8,7862
4/1/1998,5788.1,252643,7.2,7.9,7542
5/1/1998,5837.9,252913,6.9,8.3,7574
6/1/1998,5871.7,253207,6.8,7.5,7398
7/1/1998,5890,253493,6.9,8.3,7268
8/1/1998,5925,253807,6.8,8.5,7261
9/1/1998,5965.6,254126,6.4,9.1,7102
10/1/1998,5998.8,254435,6.2,8.6,7227
11/1/1998,6015.4,254718,6.3,8.2,7035
12/1/1998,6070.5,254964,5.8,7.7,6936
1/1/1999,6072.9,255214,6.3,8.7,6953
2/1/1999,6101.8,255448,6.2,8.8,6929
3/1/1999,6132.9,255703,5.9,8.7,6876
4/1/1999,6196.2,255992,5.1,8.4,6601
5/1/1999,6225.7,256285,4.9,8.6,6779
6/1/1999,6254,256589,4.8,8.4,6546
7/1/1999,6281.5,256894,4.8,9,6605
8/1/1999,6326.5,257232,4.7,8.7,6843
9/1/1999,6378.8,257548,4.2,8.7,6604
10/1/1999,6402.1,257861,4.5,9.4,6568
11/1/1999,6437.9,258147,4.8,7.9,6537
12/1/1999,6538.7,258413,4.3,9,6518
1/1/2000,6535.3,258679,5.4,9.7,6682
2/1/2000,6619.7,258919,4.8,9.7,6359
3/1/2000,6685.8,259152,4.5,10.2,6205
4/1/2000,6671.1,259414,5,10.4,6468
5/1/2000,6707.6,259680,4.9,9.8,6375
6/1/2000,6743.9,259963,4.9,10.5,6577
7/1/2000,6764.1,260255,5.2,10.7,6495
8/1/2000,6799.1,260566,5.2,11.7,6511
9/1/2000,6882.9,260867,4.5,12.3,6590
10/1/2000,6888.2,261163,4.6,13.1,6630
11/1/2000,6902.4,261425,4.5,14.2,6725
12/1/2000,6945.7,261674,4.2,17.2,6667
1/1/2001,6977,261919,4.8,16,6752
2/1/2001,6995.8,262123,4.9,16.3,6651
3/1/2001,6987.9,262352,5.3,17.8,6598
4/1/2001,7001.2,262631,5,18.9,6797
5/1/2001,7047.1,262877,4.4,19.8,6742
6/1/2001,7060.7,263152,4.4,20.1,6590
7/1/2001,7072.2,263436,5.6,20,6922
8/1/2001,7108.9,263724,6.8,19.9,7188
9/1/2001,7012.8,264017,7,20.4,7368
10/1/2001,7208.4,264301,3.4,22.1,7459
11/1/2001,7167.9,264559,4.1,22.3,7764
12/1/2001,7147.7,264804,4.5,25.2,7901
1/1/2002,7174.3,265044,6.1,22.3,8015
2/1/2002,7218.3,265270,5.8,21,8265
3/1/2002,7237.2,265495,5.9,20.3,8586
4/1/2002,7305.4,265755,5.8,21.2,8439
5/1/2002,7282.7,265998,6.5,21,8736
6/1/2002,7318.2,266270,6.4,21.9,8692
7/1/2002,7380.4,266557,5.5,21.5,8586
8/1/2002,7401.5,266843,5.4,21.1,8666
9/1/2002,7391,267152,5.7,21.5,8722
10/1/2002,7430.7,267456,5.7,20.9,8842
11/1/2002,7459.7,267715,5.7,21.6,8931
12/1/2002,7512.8,267943,5.5,22.4,9198
1/1/2003,7533.1,268151,5.5,22,9283
2/1/2003,7535.9,268364,5.6,22.4,9454
3/1/2003,7598.4,268595,5.3,22,9460
4/1/2003,7621,268853,5.3,20.6,9415
5/1/2003,7628.1,269108,5.8,20.8,9744
6/1/2003,7678.6,269386,5.5,20.5,10040
7/1/2003,7738.2,269667,6.2,20.8,9850
8/1/2003,7834.5,269976,6,19.7,9787
9/1/2003,7835,270284,5.1,19.2,9781
10/1/2003,7845.7,270581,5.3,19.1,9398
11/1/2003,7899.6,270878,5.4,19.9,9565
12/1/2003,7929.2,271125,5.4,20.4,9557
1/1/2004,7987.4,271360,5,17.5,9325
2/1/2004,8019.8,271585,5,18.4,9183
3/1/2004,8076,271821,4.9,18.8,9056
4/1/2004,8088.6,272083,5.3,19.9,9110
5/1/2004,8163.2,272342,5.2,18.6,9149
6/1/2004,8147.2,272622,5.8,17.7,9121
7/1/2004,8218.9,272912,5.2,15.8,8930
8/1/2004,8253.1,273237,5.1,17.2,8763
9/1/2004,8321.1,273553,4.6,17.6,8714
10/1/2004,8374.6,273852,4.5,17.1,8750
11/1/2004,8420.6,274126,4,17.1,8542
12/1/2004,8481.5,274372,6.8,17,8477
1/1/2005,8470.2,274626,3.6,16.2,8630
2/1/2005,8529.2,274838,3.2,16.5,8583
3/1/2005,8569.5,275047,3.4,16.5,8470
