<<<<<<< HEAD
year,month,store_id,country,name_of_repairitem
2019,4,88,United States,Speaker Replacement (Tax exclusive)
2019,5,88,United States,"Speaker Replacement (Tax exclusive), ok"
2019,6,88,United States,"Back glass panel Replacement, Battery Replacement"
2019,7,88,United States,Speaker Replacement (Tax inclusive)
2019,8,88,United States,a7 test issue
2019,11,88,United States,Battery Replacement
2020,1,88,United States,Speaker Replacement (Tax inclusive)
2020,2,88,United States,Speaker Replacement (Tax exclusive)
2020,3,88,United States,Batter Replacement
2020,4,88,United States,Batter Replacement
2020,5,88,United States,Screen (Digitizer+LCD) Replacement
2020,6,88,United States,Batter Replacement
2020,7,88,United States,Batter Replacement
2020,8,88,United States,"0900,etuis iFace 6 & 6S Vert"
2020,9,88,United States,Batter Replacement
2020,10,88,United States,Speaker Replacement (Tax exclusive)
2020,12,88,United States,Batter Replacement
2019,1,116,Australia,Screen (Digitizer+Glass ONLY) Replacement
2019,2,116,Australia,"Screen (Digitizer+LCD) Replacement, Rear/Back Glass"
2019,3,116,Australia,Proximity / Front camera
2019,4,116,Australia,Screen (Digitizer+LCD) Replacement
2019,5,116,Australia,"Screen (Digitizer+LCD) ORIGINAL Replacement, Ƶ – Board Level Diagnostics"
2019,6,116,Australia,Battery Replacement
2019,7,116,Australia,Ƶ – Board Level Diagnostics
2019,8,116,Australia,Ƶ – Board Level Diagnostics
2019,9,116,Australia,Battery Replacement
2019,10,116,Australia,Ƶ – Complete Backlight Rebuild
2019,11,116,Australia,"Battery Replacement, Screen (Digitizer+LCD) ORIGINAL Replacement"
2019,12,116,Australia,Screen (Digitizer+LCD) Replacement
2020,1,116,Australia,Screen (Digitizer+LCD) Replacement
2020,2,116,Australia,Screen (Digitizer+LCD) Replacement
2020,3,116,Australia,Screen (Digitizer+Glass ONLY) Replacement
2020,4,116,Australia,"Screen (Digitizer+LCD) Replacement, Battery Replacement"
2020,5,116,Australia,Screen (Digitizer+Glass ONLY) Replacement
2020,6,116,Australia,"Screen (Digitizer+LCD) ORIGINAL Replacement, Rear/Back Glass"
2020,7,116,Australia,Ƶ – Board Level Diagnostics
2020,8,116,Australia,"Charging Port,Mic,Headphone Jack Replacement"
2020,9,116,Australia,Ƶ – Board Level Diagnostics
2020,10,116,Australia,Screen (Digitizer+Glass ONLY) Replacement
2020,11,116,Australia,Ƶ – Water/Severe Damage (Data Recovery)
2020,12,116,Australia,Ƶ – Board Level Diagnostics
2019,2,152,United Kingdom,screen replacement
2019,3,152,United Kingdom,battery replacement
2019,4,152,United Kingdom,screen replacement
2019,5,152,United Kingdom,reinstall windows
2019,6,152,United Kingdom,battery replacement
2019,7,152,United Kingdom,earpiece speaker
2019,8,152,United Kingdom,lcd replacement
2019,9,152,United Kingdom,repair
2019,10,152,United Kingdom,lcd replacement
2019,11,152,United Kingdom,screen replacement
2019,12,152,United Kingdom,screen replacement
2020,1,152,United Kingdom,screen replacement
2020,5,152,United Kingdom,lcd screen replacement
2020,6,152,United Kingdom,lcd replacement
2020,8,152,United Kingdom,screen replacement
2020,9,152,United Kingdom,screen replacement
2020,10,152,United Kingdom,lcd replacement
2020,12,152,United Kingdom,lcd screen replacement
2019,8,161,Canada,Batter Replacement
2019,1,181,Germany,Aufwandsentschädigung
2019,2,181,Germany,Austausch der Displayeinheit(LCD gerissen)
2019,3,181,Germany,Austausch der Displayeinheit (Refurbished Display)
2019,4,181,Germany,Akkutausch
2019,5,181,Germany,"Austausch der Displayeinheit, Akkutausch"
2019,6,181,Germany,Reparatur der Kamera
2019,7,181,Germany,Austausch der Displayeinheit (Zubehör)
2019,8,181,Germany,Reparatur der Displayeinheit (Refurb)
2019,9,181,Germany,Austausch der Displayeinheit  (LCD def.)
2019,10,181,Germany,Wasserschadenbehandlung
2019,11,181,Germany,Austausch des Touchscreens
2019,12,181,Germany,"Backcovertausch, Kostenvoranschlag, Akkutausch"
2020,1,181,Germany,Lötarbeiten
2020,2,181,Germany,Displaytausch
2020,3,181,Germany,Softwarebehandlung
2020,4,181,Germany,Datenrettung
2020,5,181,Germany,Reparatur des Tristar Chips
2020,6,181,Germany,Aufwandspauschale
2020,7,181,Germany,Displayreparatur 
2020,8,181,Germany,Austausch des Touchscreens
2020,9,181,Germany,Aufwandspauschale
2020,10,181,Germany,lötarbeiten
2020,11,181,Germany,Akkutausch
2020,12,181,Germany,Reparatur der Displayeinheit (Refurbished)
2019,1,187,United Kingdom,Battery Repair
2019,2,187,United Kingdom,Front Screen Repair
2019,3,187,United Kingdom,Front Screen Repair
2019,4,187,United Kingdom,FRONT SCREEN REPAIR
2019,5,187,United Kingdom,FRONT SCREEN REPAIR
2019,6,187,United Kingdom,Front Screen Repair
2019,7,187,United Kingdom,Diagnostic Service
2019,8,187,United Kingdom,Liquid Damage Service
2019,9,187,United Kingdom,"FRONT SCREEN REPAIR,back"
2019,10,187,United Kingdom,Samsung diagnose option
2019,11,187,United Kingdom,Charging Port Repair
2019,12,187,United Kingdom,"Back Glass ,Front Screen Repair"
2020,1,187,United Kingdom,Front Screen Repair 
2020,2,187,United Kingdom,Screen
2020,3,187,United Kingdom,Front Screen Repair
2020,4,187,United Kingdom,Battery Repair
2020,5,187,United Kingdom,Front Screen Repair
2020,6,187,United Kingdom,Liquid Damage Service
2020,7,187,United Kingdom,Screen
2020,8,187,United Kingdom,Front Screen Repair
2020,9,187,United Kingdom,"Rear Cover Repair, Front Screen Repair"
2020,10,187,United Kingdom,Screen Repair
2020,11,187,United Kingdom,Charging Port Repair
2020,12,187,United Kingdom,"Front Screen Repair, Earpiece Repair"
2019,1,190,Australia,"lcd replacement, camra"
2019,11,190,Australia,Touch
2019,12,190,Australia,CHARGING SOCKET FIXED
2020,4,190,Australia,"LCD, BATTERY AND HOME BUTTON"
2020,5,190,Australia,lcd 
2020,10,190,Australia,battery replacment 
2020,11,190,Australia,lcd replacement
2020,12,190,Australia,touch replacement
2019,11,202,United Kingdom,Replacement Screen - Budget
2020,9,202,United Kingdom,Damaged Front Screen
2020,10,202,United Kingdom,Replacement Front Screen
2020,11,202,United Kingdom,Replacement Screen - Black - Budget
2020,12,202,United Kingdom,Replacement Screen - Black - Budget
2019,1,205,Canada,Front Camera Replacement
2019,2,205,Canada,Screen Replacement
2019,6,205,Canada,Touch glass (Digitizer) Black
2019,1,221,India,Dead
2019,2,221,India,Dead
2019,3,221,India,Dead
2019,5,221,India,Screen Replacment
2019,7,221,India,Screen Replacment
2019,9,221,India,Battery
2020,3,221,India,Charging Port
2020,8,221,India,"Charging Port, Mic"
2020,9,221,India,"Screen Replacement, Dead"
2020,10,221,India,Touchpad Replacement
2020,11,221,India,"Hinges, Screen Broken"
2020,12,221,India,Dead
2019,1,234,Australia,Diagnosis Fee
2019,2,234,Australia,In-Office Service & Support POS
2019,3,234,Australia,Diagnosis Fee
2019,4,234,Australia,Diagnosis Fee
2019,5,234,Australia,"2.5"" 750GB 5400RPM HD"
2019,6,234,Australia,Diagnosis Fee
2019,7,234,Australia,Diagnosis Fee
2019,1,237,Australia,LCD
2019,2,237,Australia,Data recovery
2019,3,237,Australia,Touch + Lcd
2019,4,237,Australia,Touch
2019,5,237,Australia,screen touch only 
2019,6,237,Australia,Touch only
2019,7,237,Australia,Touch and lcd White
2019,8,237,Australia,Battery
2019,9,237,Australia,Battery
2019,10,237,Australia,Battery
2019,11,237,Australia,"Touch LCD, Charge Socket"
2019,12,237,Australia,Battery
2020,1,237,Australia,Battery
2020,2,237,Australia,Touch Screen 
2020,3,237,Australia,Touch ONLY
2020,4,237,Australia,Touch and LCD
2020,5,237,Australia,Screen
2020,6,237,Australia,Touch + LCD black A
2020,7,237,Australia,Battery
2020,8,237,Australia,Not Charging
2020,9,237,Australia,a. Broken Screen (Glass ONLY) White
2020,10,237,Australia,"a. Broken Screen (Glass ONLY) White, f. Prox/Earpiece"
2020,11,237,Australia,d. Battery (high capacity)
2020,12,237,Australia,a. Broken Screen (Glass ONLY) Black
2019,1,263,United Kingdom,lcd/digitiser replacement
2019,2,263,United Kingdom,LCD High Quality Replacement (90 day warranty)
2019,3,263,United Kingdom,Iphone 6 battery (Genuine)
2019,4,263,United Kingdom,Iphone 7 Plus LCD 
2019,5,263,United Kingdom,A.    LCD high Quality Replacement ( 90 day warranty)
2019,6,263,United Kingdom,Iphone 8 Lcd
2019,7,263,United Kingdom,Iphone 8 Lcd
2019,8,263,United Kingdom,Touch Glass (Digitiser) Replacement
2019,9,263,United Kingdom,B.    Iphone 6 battery (Genuine)
2019,10,263,United Kingdom,A.    LCD High Quality Replacement (90 day warranty)
2019,11,263,United Kingdom,A.     LCD High Quality Replacement (90 day warranty)
2019,12,263,United Kingdom,A.    lcd/digitiser replacement
2020,1,263,United Kingdom,LCD?Digitiser
2020,2,263,United Kingdom,battery replacement
2020,3,263,United Kingdom,A.    LCD high Quality Replacement ( 90 day warranty)
2020,4,263,United Kingdom,lcd/digitiser replacement
2020,5,263,United Kingdom,LCD REPLACEMENT (SERVICE PACK)
2020,6,263,United Kingdom,Iphone 8 Lcd
2020,7,263,United Kingdom,B.    Iphone 6 battery (Genuine)
2020,8,263,United Kingdom,lcd/digitiser replacement (GENUINE SERVICE PACK)
2020,9,263,United Kingdom,lcd/digitiser replacement
2020,10,263,United Kingdom,lcd/digitiser replacement
2020,11,263,United Kingdom,A.    LCD/Digitiser
2020,12,263,United Kingdom,B.    Iphone 6 battery
2019,1,303,Australia,Screen Replacement
2019,2,303,Australia,Screen Issue
2019,3,303,Australia,Screen Repalcement
2019,4,303,Australia,Inspection
2019,5,303,Australia,Charging Issue
2019,6,303,Australia,Rebooting Randomly
2019,7,303,Australia,Screen replacement 
2019,8,303,Australia,Inspection
2019,9,303,Australia,Sensor Issue
2019,10,303,Australia,Screen Replacement
2019,11,303,Australia,Inspection
2019,12,303,Australia,Battery Replacement
2020,1,303,Australia,Screen Replacement
2020,2,303,Australia,Screen replacement 
2020,3,303,Australia,Data Backup/Transfer
2020,4,303,Australia,No Power/Not turning on
2020,5,303,Australia,Screen Replacement
2020,6,303,Australia,Back cover replacement
2020,7,303,Australia,Screen Replacement
2020,8,303,Australia,Battery Replacement
2020,9,303,Australia,"Back Glass Replacement, Screen Replacement"
2020,10,303,Australia,Inspection
2020,11,303,Australia,Screen Replacement
2020,12,303,Australia,Screen Replacement
2019,1,309,United Kingdom,Power Button Fix
2019,2,309,United Kingdom,Screen Replacement
2019,3,309,United Kingdom,Diagnosis
2019,4,309,United Kingdom,Data Extraction
2019,5,309,United Kingdom,LCD
2019,6,309,United Kingdom,Port clean out
2019,7,309,United Kingdom,Laptop Diagnosis
2019,8,309,United Kingdom,Screen Replacement
2019,9,309,United Kingdom,Screen Replacement 
2019,10,309,United Kingdom,Screen Replacement
2019,11,309,United Kingdom,Screen Replacement 
2019,12,309,United Kingdom,Laptop Water Damage diagnosis
2020,1,309,United Kingdom,Battery
2020,2,309,United Kingdom,Screen Replacement
2020,3,309,United Kingdom,LCD Screen
2020,6,309,United Kingdom,Screen Replacement
2020,7,309,United Kingdom,SSD Removal (PO - 31046325)
2020,8,309,United Kingdom,Water Damage Diagnosis
2020,9,309,United Kingdom,Screen Replacement
2020,10,309,United Kingdom,Windows Reinstall
2020,11,309,United Kingdom,Collection Charge
2020,12,309,United Kingdom,Overheating Fix
2019,1,316,Australia,LCD + DIGITIZER REPLACEMENT-AM (BLACK)
2019,2,316,Australia,LCD + DIGITIZER REPLACEMENT-NQ (BLACK)
2019,3,316,Australia,LCD + DIGITIZER REPLACEMENT-NQ (BLACK)
2019,4,316,Australia,HOME BUTTON REPLACEMENT (BLACK)
2019,5,316,Australia,OTHER
2019,6,316,Australia,LCD + DIGITIZER REPLACEMENT-AM (WHITE)
2019,7,316,Australia,LCD + DIGITIZER REPLACEMENT (BLACK)
2019,8,316,Australia,DIGITIZER/TOUCH SCREEN REPLACEMENT (BLACK)
2019,9,316,Australia,WATER/LIQUID CLEAN UP
2019,10,316,Australia,"LCD + DIGITIZER REPLACEMENT-NQ (WHITE), REAR CAMERA REPLACEMENT"
2019,11,316,Australia,LCD + DIGITIZER REPLACEMENT (BLACK)
2019,12,316,Australia,DIGITIZER/TOUCH SCREEN REPLACEMENT (WHITE)
2020,1,316,Australia,OTHER
2020,2,316,Australia,LCD + DIGITIZER REPLACEMENT-AM (BLACK)
2020,3,316,Australia,"OTHER, BATTERY REPLACEMENT"
2020,4,316,Australia,"LCD + DIGITIZER REPLACEMENT-NQ (BLACK), BACK GLASS REPLACEMENT (BLACK)"
2020,5,316,Australia,LCD + DIGITIZER REPLACEMENT-NQ (BLACK)
2020,6,316,Australia,"DIGITIZER/TOUCH SCREEN REPLACEMENT (BLACK), OTHER"
2020,7,316,Australia,DIGITIZER/TOUCH SCREEN REPLACEMENT (WHITE)  (RISK OF HOME BUTTON DAMAGE & TOUCH ID MAY NOT WORK)
2020,8,316,Australia,LCD + DIGITIZER + FRAME REPLACEMENT (MAPLE GOLD)
2020,9,316,Australia,CHARGING PORT REPLACEMENT (WHITE)
2020,10,316,Australia,LCD + DIGITIZER REPLACEMENT (BLACK)
2020,11,316,Australia,LCD + DIGITIZER REPLACEMENT (WHITE)
2020,12,316,Australia,LCD + DIGITIZER REPLACEMENT (BLACK)
2019,1,350,Australia,Screen + LCD Replacement (Aftermarket)
2019,2,350,Australia,Screen (Glass+LCD) Replacement
2019,3,350,Australia,Battery Replacement
2019,4,350,Australia,"Battery Replacement, Charger Port Repair"
2019,5,350,Australia,LCD Screen Replacement
2019,6,350,Australia,Screen (Glass+LCD) Replacement 
2019,7,350,Australia,OS Reinstall 
2019,8,350,Australia,Battery Replacement
2019,9,350,Australia,Back Glass Replacement
2019,10,350,Australia,Screen (Glass+LCD) Replacement
2019,11,350,Australia,Screen (Glass+LCD) Replacement
2019,12,350,Australia,Screen + OLED Replacement (Aftermarket)
2020,1,350,Australia,Earpiece Speaker Replacement
2020,2,350,Australia,LCD Screen Replacement
2020,3,350,Australia,Battery Replacement
2020,4,350,Australia,Battery Replacement
2020,5,350,Australia,U2 Chip Repair 
2020,6,350,Australia,Screen + OLED Replacement (Aftermarket)
2020,7,350,Australia,"Screen (Glass+LCD) Replacement, Battery Replacement"
2020,8,350,Australia,Touch Glass (Digitizer) Replacement
2020,9,350,Australia,Battery Replacement
2020,10,350,Australia,Diagnostics
2020,11,350,Australia,Insurance Quote
2020,12,350,Australia,Digitizer + LCD Replacement (Aftermarket)
2019,1,353,United Kingdom,Screen (Digitizer+LCD) Replacement
2019,2,353,United Kingdom,Screen (Digitizer+LCD) Replacement
2019,3,353,United Kingdom,Screen (Digitizer+LCD) Replacement (Genuine)
2019,4,353,United Kingdom,Screen (Digitizer+LCD) Replacement
2019,5,353,United Kingdom,Investigation
2019,6,353,United Kingdom,Screen (Digitizer+LCD) Replacement
2019,7,353,United Kingdom,Battery Replacement
2019,8,353,United Kingdom,Screen (Digitizer+LCD) Replacement
2019,9,353,United Kingdom,Screen (Digitiser+LCD) Replacement
2019,10,353,United Kingdom,Screen (Digitiser+LCD) Replacement
2019,11,353,United Kingdom,Screen (Digitiser+LCD) Replacement
2019,12,353,United Kingdom,Touch Glass (Digitiser) Replacement
2020,1,353,United Kingdom,Touch Glass (Digitiser) Replacement
2020,2,353,United Kingdom,Investigation
2020,3,353,United Kingdom,Screen (Digitiser+LCD) Replacement (Genuine)
2020,4,353,United Kingdom,Screen (Digitiser+LCD) Replacement
2020,5,353,United Kingdom,Mainboard Repair
2020,6,353,United Kingdom,Battery Replacement
2020,7,353,United Kingdom,Investigation
2020,8,353,United Kingdom,Screen (Digitiser+LCD) Replacement
2020,9,353,United Kingdom,Screen (Digitiser+LCD) Replacement
2020,10,353,United Kingdom,Screen (Digitiser+LCD) Replacement
2020,11,353,United Kingdom,Charge IC
2020,12,353,United Kingdom,Battery Replacement 
2019,1,374,Australia,Battery Replacement
2019,2,374,Australia,Screen Replacement
2019,3,374,Australia,Screen Replacement
2019,4,374,Australia,Screen Replacement
2019,5,374,Australia,Digitizer Replacement
2019,6,374,Australia,Charging Issue
2019,7,374,Australia,Screen Replacement
2019,8,374,Australia,Battery Replacement
2019,9,374,Australia,"Back cover replacement, Screen Replacment"
2019,10,374,Australia,Screen Replacement
2019,11,374,Australia,LAPTOP IS IN BOOTING LOOP + VIRUS REMOVAL
2019,12,374,Australia,Screen Replacement
2020,1,374,Australia,Charging Port Repair
2020,2,374,Australia,Charging Issue
2020,3,374,Australia,Dead / Not Turning On
2020,4,374,Australia,Screen Replacement
2020,5,374,Australia,Reset Password
2020,6,374,Australia,"Screen Replacement, LIQUID DAMAGE, Motherboard Repair"
2020,7,374,Australia,Screen Replacement
2020,8,374,Australia,Screen Replacment
2020,9,374,Australia,Screen Replacement
2020,10,374,Australia,Charging Issue
2020,11,374,Australia,Audio Issue
2020,12,374,Australia,Screen Replacment
2019,8,380,Australia,"Power Switch / Lock Button Replacement, Rear camera Replacement"
2019,9,380,Australia,"Battery Replacement, Battery Replacement"
2020,5,380,Australia,LCD Screen Replacement
2020,7,380,Australia,Windows installation
2020,8,380,Australia,Back Glass
2020,9,380,Australia,OLED Screen Replacement
2020,10,380,Australia,Mother Board/Logic board Repair
2020,11,380,Australia,Battery Replacement
2020,12,380,Australia,Battery Replacement
2019,4,385,United States,New WIFI Setup
2019,11,385,United States,Will not boot up
2019,12,385,United States,Will not come up
2020,2,385,United States,Windows 10 update
2020,6,385,United States,Service call
2019,1,399,Germany,Lötarbeit
2019,2,399,Germany,Austausch der Displayeinheit(Glasbruch)
2019,3,399,Germany,"Austausch der Displayeinheit (Refurbished Display), Kameraglas"
2019,4,399,Germany,Austausch der Display EInheit (Refurb)
2019,5,399,Germany,Displayreparatur
2019,6,399,Germany,Datenrettung
2019,7,399,Germany,Austausch der Displayeinheit (LCD Defekt)
2019,8,399,Germany,Austausch der Displayeinheit
2019,9,399,Germany,Austausch des An-/Ausschalters
2019,10,399,Germany,Reparatur der Displayeinheit 
2019,11,399,Germany,Akkutausch
2019,12,399,Germany,Aufwand 
2020,1,399,Germany,Austausch der Ladebuchse
2020,2,399,Germany,Reparatur der Displayeinheit 
2020,3,399,Germany,Displayreparatur 
2020,4,399,Germany,Reparatur der Displayeinheit 
2020,5,399,Germany,Kostenvoranschlag
2020,6,399,Germany,Displaytausch (Refurb. Display)
2020,7,399,Germany,"Austausch der Displayeinheit, Austausch des Backcovers"
2020,8,399,Germany,Displayreparatur 
2020,9,399,Germany,Kostenvoranschlag
2020,10,399,Germany,Reparatur der Display Einheit
2020,11,399,Germany,"Reparatur der Displayeinheit (Refurbished), Kostenvoranschlag"
2020,12,399,Germany,Displayreparatur 
2019,4,429,United Kingdom,Digi and LCD Copy White
2019,5,429,United Kingdom,"LCD SCREEN, replacement HDD"
2019,6,429,United Kingdom,No Power
2019,7,429,United Kingdom,Digitizer+LCD OEM  White
2019,8,429,United Kingdom,Ear Piece Replacement
2019,9,429,United Kingdom,"Battery Replacement, Digitizer+LCD OEM       Black, Tempered Glass"
2019,10,429,United Kingdom,"Digitizer+LCD OEM Black, Tempered Glass"
2019,11,429,United Kingdom,Digitizer+LCD OEM Black
2019,12,429,United Kingdom,Digi
2020,1,429,United Kingdom,Digitizer OEM
2020,2,429,United Kingdom,Digitizer+LCD Black
2020,3,429,United Kingdom,charge port
2020,5,429,United Kingdom,Digi and LCD
2020,6,429,United Kingdom,Digitizer+LCD Black
2020,7,429,United Kingdom,Battery Replacement
2020,8,429,United Kingdom,Digi Black
2020,9,429,United Kingdom,Digitizer+LCD Black
2020,10,429,United Kingdom,Genuine Display Unit
2020,11,429,United Kingdom,Digitizer+LCD OEM  White
2020,12,429,United Kingdom,Digi and LCD Copy White
2019,1,438,United States,diagnostic
2019,2,438,United States,Diagnosis
2019,3,438,United States,Labor
2019,4,438,United States,Diagnostic 
2019,5,438,United States,"Battery Replacement, Tempered glass w Repair Unlimited"
2019,6,438,United States,"Diagnostic, Charger"
2019,7,438,United States,Screen Replacement
2019,8,438,United States,Screen Replacement
2019,9,438,United States,Restore
2019,10,438,United States,"Screen replacement, Tempered Glass with repair"
2019,11,438,United States,diagnostic
2019,12,438,United States,Screen replacement
2020,1,438,United States,Charge port
2020,2,438,United States,tempered glass
2020,3,438,United States,battery replacement
2020,4,438,United States,Diagnostic
2020,5,438,United States,"Screen Replacement , Back Glass"
2020,6,438,United States,Data Recovery
2020,7,438,United States,"charge port , Diagnostics"
2020,8,438,United States,Tempered Glass w/o repair
2020,9,438,United States,Screen replacement
2020,10,438,United States,Screen Replacement 
2020,11,438,United States,"Battery Replacement Half off, Battery Replacement"
2020,12,438,United States,Screen Replacement 
2020,7,483,Australia,Back housing Replacement
2020,8,483,Australia,[HIGH] LCD Replacement
2020,10,483,Australia,[LOW] LCD replacement
2020,11,483,Australia,LCD 
2019,1,484,Australia,Screen (Digitizer+LCD) Replacement 
2019,2,484,Australia,Screen (Digitizer+LCD) Replacement
2019,3,484,Australia,Screen (Digitizer+LCD) Replacement
2019,4,484,Australia,Screen (Digitizer+LCD) Replacement
2019,5,484,Australia,Screen (Digitizer+LCD) Replacement
2019,6,484,Australia,Battery Replacement
2019,7,484,Australia,Home Button Replacement
2019,8,484,Australia,Screen (Digitizer+LCD) Replacement
